snum,source,stitle,tnum,target,ttitle,check,stier,ttier,logic,slearning,tlearning
3,ECE3031,Control systems,4,ECE4032,Advanced control,1,3,4,(ECE3062 OR ECE3031) AND ECE2031,"an understanding of control theory, an appreciation of the diversity of control applications, an understanding of feedback and feed forward systems, an awareness of simplifying assumptions and their limitations, an understanding of digital controllers, the ability to model real systems in a variety of ways, the ability and confidence to effectively use feedback to improve the dynamic properties of a plant","generate dynamic models using various system identification techniques/tools such as (but not limited to) step response identification, least squares and the system identification toolbox,design optimal controllers and observers for both continuous-time and discrete-time dynamic systems,analyse robustness of uncertain systems and to suggest suitable controller structures,analyse robustness of uncertain systems and to suggest suitable controller structures,use various methods to design controllers and observers for nonlinear systems, such as (but not limited to) feedback linearisation, diffeomorphism, and linear matrix inequalities,discern the need for life-long learning about advanced control technique,design and simulate controllers and observers using computer-aided tools",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,5,ECE4033,Industrial instrumentation and measurement technologies,1,2,4,ECE2071 OR TRC2400 OR (MEC2407 AND MEC3458),"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations","to understand the importance of instrumentation in modern manufacturing systems and industrial processes,to be capable of integrating different modular instrumentation, measurement, control, computing etc. equipment to form a new system for the given task relevant to the industrial manufacturing environment,to be confident in handling commonly employed data communication standards (buses) between host computers and various on-line or semi-autonomous instrumental systems to perform a variety of tasks (data acquisition, control, signal processing, testing, etc.),to become familiar with the issues that may cause inaccurate measurements and to be well-versed in the statistical methods in measurement error analysis,to know how to present results in  a statistically sound manner and to be able to extract useful information out of raw data using sound statistical methodologies,to be aware of the environmental, health and safety issues relevant to high-volume manufacturing in the industry as well as the ability to handle and prevent some common hazardous situations",,,,,,,,,,,,,
7,TRC2400,Computer organisation and programming,5,ECE4033,Industrial instrumentation and measurement technologies,1,2,4,ECE2071 OR TRC2400 OR (MEC2407 AND MEC3458),,"to understand the importance of instrumentation in modern manufacturing systems and industrial processes,to be capable of integrating different modular instrumentation, measurement, control, computing etc. equipment to form a new system for the given task relevant to the industrial manufacturing environment,to be confident in handling commonly employed data communication standards (buses) between host computers and various on-line or semi-autonomous instrumental systems to perform a variety of tasks (data acquisition, control, signal processing, testing, etc.),to become familiar with the issues that may cause inaccurate measurements and to be well-versed in the statistical methods in measurement error analysis,to know how to present results in  a statistically sound manner and to be able to extract useful information out of raw data using sound statistical methodologies,to be aware of the environmental, health and safety issues relevant to high-volume manufacturing in the industry as well as the ability to handle and prevent some common hazardous situations",,,,,,,,,,,,,
11,MEC2407,Electromechanics,5,ECE4033,Industrial instrumentation and measurement technologies,1,2,4,ECE2071 OR TRC2400 OR (MEC2407 AND MEC3458),"students are to gain the ability to model elementary electro-mechanical systems, incorporating mechanical and electrical energy exchange and interaction, with additional instruction on common applied mathematical methods used in electromechanical system analysis, including laplace transforms and complex algebra. tutorial work will provide the student a reinforced understanding of electromechanics","to understand the importance of instrumentation in modern manufacturing systems and industrial processes,to be capable of integrating different modular instrumentation, measurement, control, computing etc. equipment to form a new system for the given task relevant to the industrial manufacturing environment,to be confident in handling commonly employed data communication standards (buses) between host computers and various on-line or semi-autonomous instrumental systems to perform a variety of tasks (data acquisition, control, signal processing, testing, etc.),to become familiar with the issues that may cause inaccurate measurements and to be well-versed in the statistical methods in measurement error analysis,to know how to present results in  a statistically sound manner and to be able to extract useful information out of raw data using sound statistical methodologies,to be aware of the environmental, health and safety issues relevant to high-volume manufacturing in the industry as well as the ability to handle and prevent some common hazardous situations",,,,,,,,,,,,,
7,MEC3458,Experimental project,5,ECE4033,Industrial instrumentation and measurement technologies,1,3,4,ECE2071 OR TRC2400 OR (MEC2407 AND MEC3458),"understanding of skills and techniques required for the acquisition of optimised meaningful experimental data, knowledge of the important components of experimental design, overview of current technologies available for experimentation, knowledge of data acquisition methods, knowledge of data analysis methods, appreciation for the importance and application of occupational health and safety procedures, manage and execute short and medium term projects, form and evaluate hypotheses, communicate results using written and oral formats, acquire and optimise experimental data, use data analysis techniques to explore and evaluate experimental data, including error analysis, use labview to acquire and analyse experimental data apply occupational health and safety procedures","to understand the importance of instrumentation in modern manufacturing systems and industrial processes,to be capable of integrating different modular instrumentation, measurement, control, computing etc. equipment to form a new system for the given task relevant to the industrial manufacturing environment,to be confident in handling commonly employed data communication standards (buses) between host computers and various on-line or semi-autonomous instrumental systems to perform a variety of tasks (data acquisition, control, signal processing, testing, etc.),to become familiar with the issues that may cause inaccurate measurements and to be well-versed in the statistical methods in measurement error analysis,to know how to present results in  a statistically sound manner and to be able to extract useful information out of raw data using sound statistical methodologies,to be aware of the environmental, health and safety issues relevant to high-volume manufacturing in the industry as well as the ability to handle and prevent some common hazardous situations",,,,,,,,,,,,,
3,ECE2041,Telecommunications,6,ECE4042,Communications theory,0,2,4,ECE2041 OR ECE2401,"this unit aims to provide the student with an insight into the basic principles of modern data communication and telecommunication networks, and relate this information to their wider use in the engineering environment, including networking, information representation and transmission.","knowledge of the fundamental limits of communication in noisy band limited channels,knowledge of digital modulation techniques and the advantages and disadvantages of different techniques,understanding of the properties of different communication channels and how channels can be modelled mathematically,knowledge of the properties of modern error correcting codes,understanding of how orthogonal frequency division multiplexing and multiple input multiple output (mimo) multiple antenna systems can be used in modern communication systems and the advantages and limitations of their use,understanding of the statistical nature of communication,skills to design and simulate modern communication systems using industry standard simulation tools",,,,,,,,,,,,,
12,ECE2021,Electromagnetism,7,ECE4043,Optical communications,1,2,4,(ECE2021 OR ECE3202 OR PHS2022) AND (ECE2041 OR ECE3402),"summarise underlying concepts and theory behind electric & magnetic fields and relate them to suitable applications, interpret mathematics used in solving problems in electromagnetism, describe electric and magnetic properties of materials, evaluate the currents and voltages in distributed circuits, compute forces caused by electromagnetic fields","explain the underlying physical principles of optical subsystems, including transmitters, fibres, amplifiers and receivers,develop methods of increasing the data bandwidth of optical systems including dispersion compensation, wavelength division multiplexing and polarisation multiplexing,evaluate the performance of optical components within optical systems, including lasers, modulators and amplifiers,simulate the interactions of components and understand performance measures,design optical communication links for short, medium and long-haul applications",,,,,,,,,,,,,
8,ECE3202,Wireless and guided EM,7,ECE4043,Optical communications,1,3,4,(ECE2021 OR ECE3202 OR PHS2022) AND (ECE2041 OR ECE3402),,"explain the underlying physical principles of optical subsystems, including transmitters, fibres, amplifiers and receivers,develop methods of increasing the data bandwidth of optical systems including dispersion compensation, wavelength division multiplexing and polarisation multiplexing,evaluate the performance of optical components within optical systems, including lasers, modulators and amplifiers,simulate the interactions of components and understand performance measures,design optical communication links for short, medium and long-haul applications",,,,,,,,,,,,,
13,PHS2022,"Physics: Electromagnetism, light and entropy",7,ECE4043,Optical communications,1,2,4,(ECE2021 OR ECE3202 OR PHS2022) AND (ECE2041 OR ECE3402),,"explain the underlying physical principles of optical subsystems, including transmitters, fibres, amplifiers and receivers,develop methods of increasing the data bandwidth of optical systems including dispersion compensation, wavelength division multiplexing and polarisation multiplexing,evaluate the performance of optical components within optical systems, including lasers, modulators and amplifiers,simulate the interactions of components and understand performance measures,design optical communication links for short, medium and long-haul applications",,,,,,,,,,,,,
3,ECE2041,Telecommunications,7,ECE4043,Optical communications,1,2,4,(ECE2021 OR ECE3202 OR PHS2022) AND (ECE2041 OR ECE3402),"this unit aims to provide the student with an insight into the basic principles of modern data communication and telecommunication networks, and relate this information to their wider use in the engineering environment, including networking, information representation and transmission.","explain the underlying physical principles of optical subsystems, including transmitters, fibres, amplifiers and receivers,develop methods of increasing the data bandwidth of optical systems including dispersion compensation, wavelength division multiplexing and polarisation multiplexing,evaluate the performance of optical components within optical systems, including lasers, modulators and amplifiers,simulate the interactions of components and understand performance measures,design optical communication links for short, medium and long-haul applications",,,,,,,,,,,,,
3,ECE2041,Telecommunications,8,ECE4044,Telecommunications protocols,0,2,4,ECE2041,"this unit aims to provide the student with an insight into the basic principles of modern data communication and telecommunication networks, and relate this information to their wider use in the engineering environment, including networking, information representation and transmission.","compare and contrast various protocols used in the internet and contemporary applications,evaluate network tools used to query parts of the internet infrastructure including name servers, routers, individual hosts, and websites,analyse techniques used for provision of security, confidentiality, authentication, non-repudiation and message integrity,write client-server applications using the internet protocols",,,,,,,,,,,,,
3,ECE2041,Telecommunications,9,ECE4045,Network performance,1,2,4,"ECE2041 , ECE2401","this unit aims to provide the student with an insight into the basic principles of modern data communication and telecommunication networks, and relate this information to their wider use in the engineering environment, including networking, information representation and transmission",evaluate network performance problems using node or link-based analysis, graph theory and queuing theory,Compare and contrast different routing, traffic management, congestion control and flow control algorithms and protocols,Simulate complex networks and analyse their performance using discrete-event modelling,,,,,,,,
4,ECE2061,Analogue electronics,10,ECE4053,Electrical energy - generation and supply,1,2,4,ECE2061 OR TRC2500,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","to understand energy conversion technologies, electric power system modelling, power flow analysis faults in power systems electrical grid power and frequency control power stability and quality of supply economy of electric power systems",,,,,,,,,,,,,
13,TRC2500,Analogue electronics,10,ECE4053,Electrical energy - generation and supply,1,2,4,ECE2061 OR TRC2500,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","to understand energy conversion technologies, electric power system modelling, power flow analysis faults in power systems electrical grid power and frequency control power stability and quality of supply economy of electric power systems",,,,,,,,,,,,,
9,ECE3051,Electrical energy systems,10,ECE4053,Electrical energy - generation and supply,2,3,4,ECE3051 OR (TRC3501 AND TRC3600),to explore electrical power equipment, apparatus and systems. to understand the conversion of electrical energy into alternative forms for different load requirements. to understand electrical power generation, transmission and distribution systems,"To understand energy conversion technologies, electric power system modelling, power flow analysis faults in power systems electrical grid power and frequency control power stability and quality of supply economy of electric power systems",,,,,,,,,,,
10,TRC3600,Modelling and control,10,ECE4053,Electrical energy - generation and supply,2,3,4,ECE3051 OR (TRC3501 AND TRC3600),"value the significance and relevance of systems and associated control in engineering, formulate linear dynamic mathematical models of various systems (mechanical, electrical, fluid, hydraulic and pneumatic) as well as graphical models (such as block diagrams and signal flow graphs) using time-domain, frequency-domain and state-space techniques together with the unified concept of resistance, capacitance and inertia/inductance, calculate the response of systems as a function of time using classical differential equation solution, laplace transforms and state-space method, analyse the stability and dynamic performance of a system using root locus and bode plot methods, and calculate system parameters to achieve the desired dynamic response, recognise the effects of non-linearity in systems and accept the limitations of the use of linear models as approximations, formulate solutions using computer-based techniques (such as matlab)","to understand energy conversion technologies, electric power system modelling, power flow analysis faults in power systems electrical grid power and frequency control power stability and quality of supply economy of electric power systems",,,,,,,,,,,,,
4,ECE2061,Analogue electronics,11,ECE4055,Electrical energy - power electronic applications,1,2,4,ECE2061 OR TRC2500,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","to understand the use of power electronic switching conversion techniques to control electrical power in a wide-range of applications,to select appropriate converter topologies and structures for specific applications,to be able to design and construct practical switched mode power electronic converters,to be able to use simulation tools as part of the design process",,,,,,,,,,,,,
13,TRC2500,Analogue electronics,11,ECE4055,Electrical energy - power electronic applications,1,2,4,ECE2061 OR TRC2500,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","to understand the use of power electronic switching conversion techniques to control electrical power in a wide-range of applications,to select appropriate converter topologies and structures for specific applications,to be able to design and construct practical switched mode power electronic converters,to be able to use simulation tools as part of the design process",,,,,,,,,,,,,
12,ECE2021,Electromagnetism,12,ECE4058,Electrical energy - high voltage engineering,1,2,4,ECE2021 OR PHS2022,"summarise underlying concepts and theory behind electric & magnetic fields and relate them to suitable applications, interpret mathematics used in solving problems in electromagnetism, describe electric and magnetic properties of materials, evaluate the currents and voltages in distributed circuits, compute forces caused by electromagnetic fields",to learn and understand the principles of high voltage technology as applied in the design and testing of power system equipment as well as in other industrial applications,,,,,,,,,,,,,
13,PHS2022,"Physics: Electromagnetism, light and entropy",12,ECE4058,Electrical energy - high voltage engineering,1,2,4,ECE2021 OR PHS2022,,to learn and understand the principles of high voltage technology as applied in the design and testing of power system equipment as well as in other industrial applications,,,,,,,,,,,,,
4,ECE2061,Analogue electronics,13,ECE4063,Large scale digital design,1,2,4,ECE2061 OR TRC2500,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","describe the fabrication processes used for producing cmos vlsi circuits,assess the performance of a vlsi layout in terms of speed, power and area,predict and manage the metastable failure rate of crossing clock domains,predict and optimise the delay in multiple paths of a vlsi design,apply pipelining and parallelism to digital designs to improve their performance,design, implement and debug a complex digital design using hdl as part of a team,generate professional documentation for a team design project",,,,,,,,,,,,,
13,TRC2500,Analogue electronics,13,ECE4063,Large scale digital design,1,2,4,ECE2061 OR TRC2500,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","describe the fabrication processes used for producing cmos vlsi circuits,assess the performance of a vlsi layout in terms of speed, power and area,predict and manage the metastable failure rate of crossing clock domains,predict and optimise the delay in multiple paths of a vlsi design,apply pipelining and parallelism to digital designs to improve their performance,design, implement and debug a complex digital design using hdl as part of a team,generate professional documentation for a team design project",,,,,,,,,,,,,
4,ECE3073,Computer systems,13,ECE4063,Large scale digital design,2,3,4,ECE3073 OR TRC3300,"describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code","describe the fabrication processes used for producing cmos vlsi circuits,assess the performance of a vlsi layout in terms of speed, power and area,predict and manage the metastable failure rate of crossing clock domains,predict and optimise the delay in multiple paths of a vlsi design,apply pipelining and parallelism to digital designs to improve their performance,design, implement and debug a complex digital design using hdl as part of a team,generate professional documentation for a team design project",,,,,,,,,,,,,
11,TRC3300,Computer systems,13,ECE4063,Large scale digital design,2,3,4,ECE3073 OR TRC3300,"describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals, describe different analogue-to-digital conversion techniques and serial communication protocols, determine the performance of c and/or assembly programs when processing data from peripheral devices, analyse, design and test real time software employing concurrency and inter-process communication, analyse and compare behaviour of different real-time schedulers, appreciate how an optimising compiler can translate a high level language program into efficient assembly code","describe the fabrication processes used for producing cmos vlsi circuits,assess the performance of a vlsi layout in terms of speed, power and area,predict and manage the metastable failure rate of crossing clock domains,predict and optimise the delay in multiple paths of a vlsi design,apply pipelining and parallelism to digital designs to improve their performance,design, implement and debug a complex digital design using hdl as part of a team,generate professional documentation for a team design project",,,,,,,,,,,,,
4,ECE2061,Analogue electronics,14,ECE4064,Electronic test technology,1,2,4,ECE2061 OR ECE2072,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","develop and justify the requirements of different integrated circuit testing procedures such as parametric, functional, iddq, memory, design for test and built-in self test based on manufacturer's specifications and real-world production issues through thorough understanding of microelectronics evolution, fabrication and manufacturing processes, and the cost and roles of testing,evaluate and select the optimal test for printed circuit boards through a deep comprehension of ate architecture and familiarity with real-world test equipment",,,,,,,,,,,,,
1,ECE2072,Digital systems,14,ECE4064,Electronic test technology,1,2,4,ECE2061 OR ECE2072,"apply different techniques such as k-map and quine mccluskey, to minimise logic expressions and implement them using primitive logical gates,analyse the operation of latches, flip-flops, multiplexors, decoders, counters, registers and use them in implementing complex digital systems,design and build complex digital systems using programmable logic devices such as plas, pals and fpgas,use a hardware description language and computer aided design tools to synthesise and simulate logic circuits in a clear, consistent and efficient manner,analyse and design finite state sequential mealy and moore machines and implement them using different technologies,define time delays of digital logic elements and explain timing constraints necessary for correct operation of synchronous logic","develop and justify the requirements of different integrated circuit testing procedures such as parametric, functional, iddq, memory, design for test and built-in self test based on manufacturer's specifications and real-world production issues through thorough understanding of microelectronics evolution, fabrication and manufacturing processes, and the cost and roles of testing,evaluate and select the optimal test for printed circuit boards through a deep comprehension of ate architecture and familiarity with real-world test equipment",,,,,,,,,,,,,
14,ECE2062,Switching Electronics,14,ECE4064,Electronic test technology,2,2,4,ECE2062 OR ECE3062,,"develop and justify the requirements of different integrated circuit testing procedures such as parametric, functional, iddq, memory, design for test and built-in self test based on manufacturer's specifications and real-world production issues through thorough understanding of microelectronics evolution, fabrication and manufacturing processes, and the cost and roles of testing,evaluate and select the optimal test for printed circuit boards through a deep comprehension of ate architecture and familiarity with real-world test equipment",,,,,,,,,,,,,
2,ECE3062,Electronic systems and control,14,ECE4064,Electronic test technology,2,3,4,ECE2062 OR ECE3062,"to extend semiconductor theory to additional electronic devices and to integrated circuit structures, to gain more detailed knowledge and understanding of electronic amplifier circuits, and to understand how transistors and electronics are used in higher frequency and oscillator applications, introduce feedback, stability and dominant pole compensation, to understand siso control systems, state space modelling and their relationship to transfer functional representation, to introduce discrete-time/sampled-data control systems, to extend the ability and practical skills to design electronic circuits using simulation tools and construct, debug and verify the operation of electronic circuits in the laboratory, to extend the ability and practical skills to design and experimentally verify the operation of siso control systems","develop and justify the requirements of different integrated circuit testing procedures such as parametric, functional, iddq, memory, design for test and built-in self test based on manufacturer's specifications and real-world production issues through thorough understanding of microelectronics evolution, fabrication and manufacturing processes, and the cost and roles of testing,evaluate and select the optimal test for printed circuit boards through a deep comprehension of ate architecture and familiarity with real-world test equipment",,,,,,,,,,,,,
4,ECE3073,Computer systems,15,ECE4074,Advanced computer architecture,1,3,4,ECE3073 OR ECE3703 OR TRC3300,"describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code","to design and construct application specific solutions in the field of computer architecture,to appreciate that the solution to any problem in computer architecture is likely to be quickly invalidated by time and to strive for solutions that minimise the effects of this reality,to develop confidence in specifying computational requirements and formulating original solutions in a timely manner",,,,,,,,,,,,,
11,TRC3300,Computer systems,15,ECE4074,Advanced computer architecture,1,3,4,ECE3073 OR ECE3703 OR TRC3300,"describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals, describe different analogue-to-digital conversion techniques and serial communication protocols, determine the performance of c and/or assembly programs when processing data from peripheral devices, analyse, design and test real time software employing concurrency and inter-process communication, analyse and compare behaviour of different real-time schedulers, appreciate how an optimising compiler can translate a high level language program into efficient assembly code","to design and construct application specific solutions in the field of computer architecture,to appreciate that the solution to any problem in computer architecture is likely to be quickly invalidated by time and to strive for solutions that minimise the effects of this reality,to develop confidence in specifying computational requirements and formulating original solutions in a timely manner",,,,,,,,,,,,,
15,ENG2092,Engineering Maths B,16,ECE4076,Computer vision,1,2,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),,"understand camera models,learn to apply geometry and photometry to image analysis,understand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
15,ENG2005,Advanced engineering mathematics,16,ECE4076,Computer vision,1,2,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),"use essential concepts related to mxn linear systems, including linear independence and basis, and demonstrate a broad appreciation of tensors,solve systems of simple ordinary differential equations, establish and use their eigenvalues, solve simple second-order boundary-value problems,represent a periodic function with a fourier series, determine their convergence, calculate even and odd series, and apply these to solving simple periodic systems,perform change of variables for multivariable functions with the chain rule, use polar coordinates, represent 2d and 3d curves parametrically and solve line integrals on these curves,manipulate and evaluate double and triple integrals in cartesian, cylindrical and spherical coordinates,calculate the gradient, divergence and curl vector operations, and apply these in the evaluation of surface and volume integrals through the gauss and stokes theorems,solve elementary partial differential equations, apply boundary and initial conditions as appropriate, and use the method of separation of variables with the wave equation, heat equation and laplace's equation,appreciate key issues related to the numerical solution of full and sparse linear systems,apply a range of suitable techniques for the numerical solution of odes, including using discrete fourier transforms, ps and fe methods,use a range of suitable simple numerical techniques for the solution of pdes and appreciate their advantages and disadvantages,use matlab and other appropriate software to assist in understanding these mathematical techniques,express and explain mathematical techniques and arguments clearly in words","understand camera models,learn to apply geometry and photometry to image analysisunderstand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,16,ECE4076,Computer vision,1,2,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations","understand camera models,learn to apply geometry and photometry to image analysis,understand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
7,TRC2400,Computer organisation and programming,16,ECE4076,Computer vision,1,2,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts, develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations.","understand camera models,learn to apply geometry and photometry to image analysis,understand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
16,ECE2011,Signal processing,16,ECE4076,Computer vision,1,2,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),"apply the correct technique to analyse and manipulate continuous-time and discrete-time signals, evaluate and analyse signal in frequency or time domain, apply ltiv system concept to analyse engineering systems, apply fourier transform and the discrete fourier transforms, recognise sampling errors and aliasing phenomena","understand camera models,learn to apply geometry and photometry to image analysis,understand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
11,TRC3500,Sensors and artificial perception,16,ECE4076,Computer vision,1,3,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),"appraise sensors in terms of their performance and characteristics, and apply transducer principles,construct a complete sensory system including specifying the electronic components required,describe sensory techniques as used in robotics and implement these concepts,design, construct and debug a small microprocessor system that is capable of interfacing to a series of different inputs and outputs,construct appropriate software and test processes to produce industry-ready products","understand camera models,learn to apply geometry and photometry to image analysis,understand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
9,FIT1002,Computer programming,16,ECE4076,Computer vision,1,1,4,(ENG2092 OR ENG2005) AND (ECE2071 OR TRC2400) AND (ECE2011 OR TRC3500 OR FIT1002),"describe the relationship between a problem description and program design, explain the management of problems using recognised frameworks, explain the sequence of steps that a computer takes to translate source code into executable code, summarise the code of professional conduct and practice, industry standards and professional ethics, design solutions for programming problems including object oriented solutions using multiple user-defined classes, create and test programming solutions using java, edit, compile and execute a computer program and analyse and debug existing programs","understand camera models,learn to apply geometry and photometry to image analysis,understand the basic principles of laser scanners,understand the elements of the human visual system and perception,learn to implement low level vision processes (linear filtering, edge detection, texture, multi view geometry, stereopsis, structure from motion, optic flow),learn to implement midlevel vision (segmentation and clustering, model fitting, tracking),learn to implement high-level vision (model-based vision, surfaces and outlines, graphs, range data, templates and classifiers, learning methods),complete programming exercises (c, matlab for example)",,,,,,,,,,,,,
15,ENG2092,Engineering Maths B,17,ECE4077,Advanced computing techniques,1,2,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),,"familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
